parent_category,category1,category2,name,barcode,cost_price,sale_price,manufacturer_srp,weight,manufacturer,supplier,store_sku,manufacturer_sku,supplier_sku,short_description,long_description,categories,image_url,sub_image_url,option,quantity
Tablets,Apple,iPad Retina Display,Apple IPAD WI-FI CELLULAR 64GB BLACK-ZPN,,4790.4,"5,988.00","5,988.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPR-MD524ZP/A,MD524ZP/A,,Apple IPAD WI-FI CELLULAR 64GB BLACK-ZPN,,,,,,10
Tablets,Apple,iPad Retina Display,Apple IPAD WI-FI CELLULAR 16GB WHITE-ZPN,,3510.4,"4,388.00","4,388.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPR-MD525ZP/A,MD525ZP/A,,Apple IPAD WI-FI CELLULAR 16GB WHITE-ZPN,,,,,,10
Tablets,Apple,iPad Retina Display,Apple IPAD WI-FI CELLULAR 32GB WHITE-ZPN,,4150.4,"5,188.00","5,188.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPR-MD526ZP/A,MD526ZP/A,,Apple IPAD WI-FI CELLULAR 32GB WHITE-ZPN,,,,,,10
Tablets,Apple,iPad Mini,Apple iPad mini with WiFi 16GB - Black & Slate,,1830.4,"2,288.00","2,288.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPM-MD528ZP/A,MD528ZP/A,,Apple iPad mini with WiFi 16GB - Black & Slate,,,,,,10
Tablets,Apple,iPad Mini,Apple iPad mini with WiFi 32GB - Black & Slate,,2470.4,"3,088.00","3,088.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPM-MD529ZP/A,MD529ZP/A,,Apple iPad mini with WiFi 32GB - Black & Slate,,,,,,10
Tablets,Apple,iPad Mini,Apple iPad mini with WiFi 64GB - Black & Slate,,3110.4,"3,888.00","3,888.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPM-MD530ZP/A,MD530ZP/A,,Apple iPad mini with WiFi 64GB - Black & Slate,,,,,,10
Tablets,Apple,iPad Mini,Apple iPad mini with WiFi 16GB -White & Silver,,1830.4,"2,288.00","2,288.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPM-MD531ZP/A,MD531ZP/A,,Apple iPad mini with WiFi 16GB -White & Silver,,,,,,10
Tablets,Apple,iPad Mini,Apple iPad mini with WiFi 32GB -White & Silver,,2470.4,"3,088.00","3,088.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPM-MD532ZP/A,MD532ZP/A,,Apple iPad mini with WiFi 32GB -White & Silver,,,,,,10
Tablets,Apple,iPad Mini,Apple iPad mini with WiFi 64GB -White & Silver,,3110.4,"3,888.00","3,888.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPM-MD533ZP/A,MD533ZP/A,,Apple iPad mini with WiFi 64GB -White & Silver,,,,,,10
Tablets,Apple,iPad Mini,Apple MINI IPAD WI-FI CELLULAR 32GB BLACK-ZPN,,3270.4,"4,088.00","4,088.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPM-MD541ZP/A,MD541ZP/A,,Apple MINI IPAD WI-FI CELLULAR 32GB BLACK-ZPN,,,,,,10
Tablets,Apple,iPad Mini,Apple MINI IPAD WI-FI CELLULAR 64GB BLACK-ZPN,,3910.4,"4,888.00","4,888.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPM-MD542ZP/A,MD542ZP/A,,Apple MINI IPAD WI-FI CELLULAR 64GB BLACK-ZPN,,,,,,10
Tablets,Apple,iPad Mini,Apple MINI IPAD WI-FI CELLULAR 16GB WHITE-ZPN,,2630.4,"3,288.00","3,288.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPM-MD543ZP/A,MD543ZP/A,,Apple MINI IPAD WI-FI CELLULAR 16GB WHITE-ZPN,,,,,,10
Tablets,Apple,iPad Mini,Apple MINI IPAD WI-FI CELLULAR 32GB WHITE-ZPN,,3270.4,"4,088.00","4,088.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPM-MD544ZP/A,MD544ZP/A,,Apple MINI IPAD WI-FI CELLULAR 32GB WHITE-ZPN,,,,,,10
Tablets,Apple,iPad Mini,Apple MINI IPAD WI-FI CELLULAR 64GB WHITE-ZPN,,3910.4,"4,888.00","4,888.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPM-MD545ZP/A,MD545ZP/A,,Apple MINI IPAD WI-FI CELLULAR 64GB WHITE-ZPN,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 16GB - Space Grey,,2470.4,"3,088.00","3,088.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME276ZP/A,ME276ZP/A,,Apple iPad mini Retina Wi-Fi 16GB - Space Grey,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 32GB - Space Grey,,3110.4,"3,888.00","3,888.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME277ZP/A,ME277ZP/A,,Apple iPad mini Retina Wi-Fi 32GB - Space Grey,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 64GB - Space Grey,,3750.4,"4,688.00","4,688.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME278ZP/A,ME278ZP/A,,Apple iPad mini Retina Wi-Fi 64GB - Space Grey,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 16GB - Silver,,2470.4,"3,088.00","3,088.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME279ZP/A,ME279ZP/A,,Apple iPad mini Retina Wi-Fi 16GB - Silver,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 32GB - Silver,,3110.4,"3,888.00","3,888.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME280ZP/A,ME280ZP/A,,Apple iPad mini Retina Wi-Fi 32GB - Silver,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 64GB - Silver,,3750.4,"4,688.00","4,688.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME281ZP/A,ME281ZP/A,,Apple iPad mini Retina Wi-Fi 64GB - Silver,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 16GB-Spa,,3270.4,"4,088.00","4,088.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME800ZP/A,ME800ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 16GB-Spa,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 16GB-Sil,,3270.4,"4,088.00","4,088.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME814ZP/A,ME814ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 16GB-Sil,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 32GB-Spa,,3910.4,"4,888.00","4,888.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME820ZP/A,ME820ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 32GB-Spa,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 32GB-Sil,,3910.4,"4,888.00","4,888.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME824ZP/A,ME824ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 32GB-Sil,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 64GB-Spa,,4550.4,"5,688.00","5,688.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME828ZP/A,ME828ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 64GB-Spa,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 64GB-Sil,,4550.4,"5,688.00","5,688.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME832ZP/A,ME832ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 64GB-Sil,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 128GB-Sp,,5190.4,"6,488.00","6,488.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME836ZP/A,ME836ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 128GB-Sp,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 128GB-Si,,5190.4,"6,488.00","6,488.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME840ZP/A,ME840ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 128GB-Si,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 128GB -Space Grey,,4390.4,"5,488.00","5,488.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME856ZP/A,ME856ZP/A,,Apple iPad mini Retina Wi-Fi 128GB -Space Grey,,,,,,10
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 128GB - Silver,,4390.4,"5,488.00","5,488.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIMR-ME860ZP/A,ME860ZP/A,,Apple iPad mini Retina Wi-Fi 128GB - Silver,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi 16GB - Space Grey,,3110.4,"3,888.00","3,888.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-MD785ZP/A,MD785ZP/A,,Apple iPad Air Wi-Fi 16GB - Space Grey,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi 32GB - Space Grey,,3750.4,"4,688.00","4,688.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-MD786ZP/A,MD786ZP/A,,Apple iPad Air Wi-Fi 32GB - Space Grey,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi 64GB - Space Grey,,4390.4,"5,488.00","5,488.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-MD787ZP/A,MD787ZP/A,,Apple iPad Air Wi-Fi 64GB - Space Grey,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi 16GB - Silver,,3110.4,"3,888.00","3,888.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-MD788ZP/A,MD788ZP/A,,Apple iPad Air Wi-Fi 16GB - Silver,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi 32GB - Silver,,3750.4,"4,688.00","4,688.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-MD789ZP/A,MD789ZP/A,,Apple iPad Air Wi-Fi 32GB - Silver,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi 64GB - Silver,,4390.4,"5,488.00","5,488.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-MD790ZP/A,MD790ZP/A,,Apple iPad Air Wi-Fi 64GB - Silver,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi+Cellular 16GB - Space Gre,,3910.4,"4,888.00","4,888.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-MD791ZP/A,MD791ZP/A,,Apple iPad Air Wi-Fi+Cellular 16GB - Space Gre,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi+Cellular 32GB - Space Gre,,4550.4,"5,688.00","5,688.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-MD792ZP/A,MD792ZP/A,,Apple iPad Air Wi-Fi+Cellular 32GB - Space Gre,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi+Cellular 64GB - Space Gre,,5190.4,"6,488.00","6,488.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-MD793ZP/A,MD793ZP/A,,Apple iPad Air Wi-Fi+Cellular 64GB - Space Gre,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi+Cellular 16GB - Silver,,3910.4,"4,888.00","4,888.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-MD794ZP/A,MD794ZP/A,,Apple iPad Air Wi-Fi+Cellular 16GB - Silver,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi+Cellular 32GB - Silver,,4550.4,"5,688.00","5,688.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-MD795ZP/A,MD795ZP/A,,Apple iPad Air Wi-Fi+Cellular 32GB - Silver,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi+Cellular 64GB - Silver,,5190.4,"6,488.00","6,488.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-MD796ZP/A,MD796ZP/A,,Apple iPad Air Wi-Fi+Cellular 64GB - Silver,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi 128GB - Space Grey,,5030.4,"6,288.00","6,288.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-ME898ZP/A,ME898ZP/A,,Apple iPad Air Wi-Fi 128GB - Space Grey,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi 128GB - Silver,,5030.4,"6,288.00","6,288.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-ME906ZP/A,ME906ZP/A,,Apple iPad Air Wi-Fi 128GB - Silver,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi+Cellular 128GB - Space Gr,,5830.4,"7,288.00","7,288.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-ME987ZP/A,ME987ZP/A,,Apple iPad Air Wi-Fi+Cellular 128GB - Space Gr,,,,,,10
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi+Cellular 128GB - Silver,,5830.4,"7,288.00","7,288.00",,Apple Asia Ltd,Apple Asia Ltd,102-APPIPA-ME988ZP/A,ME988ZP/A,,Apple iPad Air Wi-Fi+Cellular 128GB - Silver,,,,,,10
Moblie Phones,Apple,IPHONE4S,Apple iPhone 4s 8GB Black (GSM),,2790.4,"3,488.00","3,488.00",,Apple Asia Ltd,Apple Asia Ltd,101-APPI4S-MF265ZP/A,MF265ZP/A,,Apple iPhone 4s 8GB Black (GSM),,,,,,10
Moblie Phones,Apple,IPHONE4S,Apple iPhone 4s 8GB White (GSM),,2790.4,"3,488.00","3,488.00",,Apple Asia Ltd,Apple Asia Ltd,101-APPI4S-MF266ZP/A,MF266ZP/A,,Apple iPhone 4s 8GB White (GSM),,,,,,10
Moblie Phones,Apple,IPHONE5C,Apple iPhone 5c 16GB White,,3750.4,"4,688.00","4,688.00",,Apple Asia Ltd,Apple Asia Ltd,101-APPI5C-MF321ZP/A,MF321ZP/A,,Apple iPhone 5c 16GB White,,,,,,10
Moblie Phones,Apple,IPHONE5C,Apple iPhone 5c 16GB Yellow,,3750.4,"4,688.00","4,688.00",,Apple Asia Ltd,Apple Asia Ltd,101-APPI5C-MF322ZP/A,MF322ZP/A,,Apple iPhone 5c 16GB Yellow,,,,,,10
Moblie Phones,Apple,IPHONE5C,Apple iPhone 5c 16GB Blue,,3750.4,"4,688.00","4,688.00",,Apple Asia Ltd,Apple Asia Ltd,101-APPI5C-MF323ZP/A,MF323ZP/A,,Apple iPhone 5c 16GB Blue,,,,,,10
Moblie Phones,Apple,IPHONE5C,Apple iPhone 5c 16GB Green,,3750.4,"4,688.00","4,688.00",,Apple Asia Ltd,Apple Asia Ltd,101-APPI5C-MF324ZP/A,MF324ZP/A,,Apple iPhone 5c 16GB Green,,,,,,10
Moblie Phones,Apple,IPHONE5C,Apple iPhone 5c 16GB Pink,,3750.4,"4,688.00","4,688.00",,Apple Asia Ltd,Apple Asia Ltd,101-APPI5C-MF325ZP/A,MF325ZP/A,,Apple iPhone 5c 16GB Pink,,,,,,10
Moblie Phones,Apple,IPHONE5C,Apple iPhone 5c 32GB White,,3839.2,"4,799.00","4,799.00",,Apple Asia Ltd,Apple Asia Ltd,101-APPI5C-MF326ZP/A,MF326ZP/A,,Apple iPhone 5c 32GB White,,,,,,10
Moblie Phones,Apple,IPHONE5C,Apple iPhone 5c 32GB Yellow,,3839.2,"4,799.00","4,799.00",,Apple Asia Ltd,Apple Asia Ltd,101-APPI5C-MF327ZP/A,MF327ZP/A,,Apple iPhone 5c 32GB Yellow,,,,,,10
Moblie Phones,Apple,IPHONE5C,Apple iPhone 5c 32GB Blue,,3839.2,"4,799.00","4,799.00",,Apple Asia Ltd,Apple Asia Ltd,101-APPI5C-MF328ZP/A,MF328ZP/A,,Apple iPhone 5c 32GB Blue,,,,,,10
Moblie Phones,Apple,IPHONE5C,Apple iPhone 5c 32GB Green,,3839.2,"4,799.00","4,799.00",,Apple Asia Ltd,Apple Asia Ltd,101-APPI5C-MF329ZP/A,MF329ZP/A,,Apple iPhone 5c 32GB Green,,,,,,10
